MMDDYY,book,chapter,start,end,section,link
122423,Ephesians,1,1,2,Greeting,https://i.imgur.com/pYdeTVg.jpg
122423,Ephesians,1,3,14,Redemption in Christ,https://i.imgur.com/pYdeTVg.jpg
122423,Ephesians,1,15,23,Prayer for Spiritual Wisdom,https://i.imgur.com/pYdeTVg.jpg
122523,Ephesians,2,1,10,By Grace Through Faith,https://i.imgur.com/1qvseLv.jpg
122523,Ephesians,2,11,13,Brought Near by His Blood,https://i.imgur.com/1qvseLv.jpg
122523,Ephesians,2,14,18,Christ our Peace,https://i.imgur.com/1qvseLv.jpg
122523,Ephesians,2,19,22,Christ our Cornerstone,https://i.imgur.com/1qvseLv.jpg
122623,Ephesians,3,1,7,The Mystery Revealed,https://i.imgur.com/MgOOQSQ.jpg
122623,Ephesians,3,8,13,Purpose of the Mystery,https://i.imgur.com/MgOOQSQ.jpg
122623,Ephesians,3,14,21,Appreciation of the Mystery,https://i.imgur.com/MgOOQSQ.jpg
122723,Ephesians,4,1,6,Walk in Unity,https://i.imgur.com/sTmaqNt.jpg
122723,Ephesians,4,7,16,Spiritual Gifts,https://i.imgur.com/sTmaqNt.jpg
122723,Ephesians,4,17,24,The New Man,https://i.imgur.com/sTmaqNt.jpg
122723,Ephesians,4,25,32,Do Not Grieve the Spirit,https://i.imgur.com/sTmaqNt.jpg
122823,Ephesians,5,1,7,Walk in Love,https://i.imgur.com/rVsQ5Rl.jpg
122823,Ephesians,5,8,14,Walk in Light,https://i.imgur.com/rVsQ5Rl.jpg
122823,Ephesians,5,15,21,Walk in Wisdom,https://i.imgur.com/rVsQ5Rl.jpg
122823,Ephesians,5,22,33,Marriage - Christ and the Church,https://i.imgur.com/rVsQ5Rl.jpg
122923,Ephesians,6,1,4,Children and Parents,https://i.imgur.com/5ato2kL.jpg
122923,Ephesians,6,5,9,Bondservants and Masters,https://i.imgur.com/5ato2kL.jpg
122923,Ephesians,6,10,20,The Whole Armour of God,https://i.imgur.com/5ato2kL.jpg
122923,Ephesians,6,21,24,A Gracious Greeting,https://i.imgur.com/5ato2kL.jpg
123023,Titus,1,1,4,Greeting,https://i.imgur.com/zF9BCKh.jpg
123023,Titus,1,5,9,Qualified Elders,https://i.imgur.com/zF9BCKh.jpg
123023,Titus,1,10,16,The Elders' Task,https://i.imgur.com/zF9BCKh.jpg
123123,Titus,2,1,10,Qualities of a Sound Church,https://i.imgur.com/wGG9GDS.jpg
123123,Titus,2,11,15,Trained by Saving Grace,https://i.imgur.com/wGG9GDS.jpg
010124,Titus,3,1,8,Grace of the Heirs of Grace,https://i.imgur.com/MiPgIok.jpg
010124,Titus,3,9,11,Avoid Dissension,https://i.imgur.com/MiPgIok.jpg
010124,Titus,3,12,14,Final Messages,https://i.imgur.com/MiPgIok.jpg
010124,Titus,3,15,15,Farewell,https://i.imgur.com/MiPgIok.jpg
010224,Psalm,1,1,6,The Way of the Righteous and the End of the Ungodly,https://i.imgur.com/iMs6hHR.jpg
010324,Psalm,2,1,12,The Messiah’s Triumph and Kingdom,https://i.imgur.com/wOh9AhH.jpg
010424,Psalm,3,1,8,The Lord Helps His Troubled People,https://i.imgur.com/eAyQ9Wb.jpg
010524,Psalm,4,1,8,The Safety of the Faithful,https://i.imgur.com/p4Mcby8.jpg
010624,Psalm,5,1,12,A Prayer for Guidance,https://i.imgur.com/seyimdb.jpg
010724,Psalm,6,1,10,A Prayer of Faith in Time of Distress,https://i.imgur.com/LsJ4bFH.jpg
010824,Psalm,7,1,17,Prayer and Praise for Deliverance from Enemies,https://i.imgur.com/8P6N1F2.jpg
010924,Psalm,8,1,8,The Glory of the Lord in Creation,https://i.imgur.com/Zj64G82.jpg
011024,Psalm,9,1,20,Prayer and Thanksgiving for the Lord’s Righteous Judgments,https://i.imgur.com/KSqpfZy.jpg
011124,Psalm,10,1,18,A Song of Confidence in God’s Triumph over Evil,https://i.imgur.com/3KRMPtc.jpg
011224,Psalm,11,1,7,Faith in the Lord’s Righteousness,https://i.imgur.com/R1waj78.jpg
011324,Psalm,12,1,8,Man’s Treachery and God’s Constancy,https://i.imgur.com/tXAuJH2.jpg
011424,Psalm,13,1,6,Trust in the Salvation of the Lord,https://i.imgur.com/h85zWIB.jpg
